forward_num_cluster_growth_0.10,reverse_num_cluster_growth_0.10,forward_rate_cluster_growth_0.10,reverse_rate_cluster_growth_0.10,organism_num_cluster_growth_0.10,organism_rate_cluster_growth_0.10,forward_num_cluster_growth_0.15,reverse_num_cluster_growth_0.15,forward_rate_cluster_growth_0.15,reverse_rate_cluster_growth_0.15,organism_num_cluster_growth_0.15,organism_rate_cluster_growth_0.15,forward_num_cluster_growth_0.20,reverse_num_cluster_growth_0.20,forward_rate_cluster_growth_0.20,reverse_rate_cluster_growth_0.20,organism_num_cluster_growth_0.20,organism_rate_cluster_growth_0.20,forward_num_cluster_growth_0.25,reverse_num_cluster_growth_0.25,forward_rate_cluster_growth_0.25,reverse_rate_cluster_growth_0.25,organism_num_cluster_growth_0.25,organism_rate_cluster_growth_0.25,forward_num_cluster_growth_0.30,reverse_num_cluster_growth_0.30,forward_rate_cluster_growth_0.30,reverse_rate_cluster_growth_0.30,organism_num_cluster_growth_0.30,organism_rate_cluster_growth_0.30,forward_num_cluster_growth_0.35,reverse_num_cluster_growth_0.35,forward_rate_cluster_growth_0.35,reverse_rate_cluster_growth_0.35,organism_num_cluster_growth_0.35,organism_rate_cluster_growth_0.35,forward_num_cluster_growth_0.40,reverse_num_cluster_growth_0.40,forward_rate_cluster_growth_0.40,reverse_rate_cluster_growth_0.40,organism_num_cluster_growth_0.40,organism_rate_cluster_growth_0.40,forward_num_cluster_growth_0.45,reverse_num_cluster_growth_0.45,forward_rate_cluster_growth_0.45,reverse_rate_cluster_growth_0.45,organism_num_cluster_growth_0.45,organism_rate_cluster_growth_0.45,forward_num_cluster_growth_0.50,reverse_num_cluster_growth_0.50,forward_rate_cluster_growth_0.50,reverse_rate_cluster_growth_0.50,organism_num_cluster_growth_0.50,organism_rate_cluster_growth_0.50,forward_num_cluster_growth_0.55,reverse_num_cluster_growth_0.55,forward_rate_cluster_growth_0.55,reverse_rate_cluster_growth_0.55,organism_num_cluster_growth_0.55,organism_rate_cluster_growth_0.55,forward_num_cluster_growth_0.60,reverse_num_cluster_growth_0.60,forward_rate_cluster_growth_0.60,reverse_rate_cluster_growth_0.60,organism_num_cluster_growth_0.60,organism_rate_cluster_growth_0.60
5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0
5.0,5.0,5.0,5.0,10.0,5.0,4.95,5.0,4.9875,5.0,9.95,4.99444444444444,5.0,4.95,5.0,4.9875,9.95,4.99444444444444,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,4.95,5.0,5.0125,5.0,9.95,5.00555555555556,5.0,4.95,5.0,4.9875,9.95,4.99444444444444,5.0,4.85,5.0,4.9875,9.85,4.99444444444444,5.0,4.95,5.0,4.9875,9.95,4.99444444444444,5.0,5.0,5.0,5.0,10.0,5.0
5.0,5.0,5.0,5.0,10.0,5.0,4.95,5.0,4.9875,5.0,9.95,4.99444444444444,4.95,4.95,5.0,4.9875,9.9,4.99444444444444,5.0,5.0,5.0,5.0,10.0,5.0,4.95,5.0,5.0125,5.0,9.95,5.00555555555556,4.95,4.95,4.9875,5.025,9.9,5.00555555555556,4.95,4.95,5.0125,4.9875,9.9,5.0,4.95,4.95,5.0,4.9875,9.9,4.99444444444444,5.0,4.85,5.0,4.9875,9.85,4.99444444444444,5.0,4.9,5.0,4.975,9.9,4.98888888888889,4.95,5.0,5.025,5.0,9.95,5.01111111111111
6.0,5.95,5.33333333333333,5.33666666666666,11.95,5.33484848484848,5.9,6.0,5.35,5.33333333333333,11.9,5.34090909090909,5.85,5.85,5.295,5.285,11.7,5.29848484848485,5.85,6.0,5.33,5.3,11.85,5.31818181818182,5.95,6.0,5.345,5.31666666666667,11.95,5.33030303030303,5.95,5.0,5.42666666666667,5.0625,10.95,5.26439393939394,5.95,4.9,5.35166666666666,5.01666666666667,10.85,5.19666666666667,5.95,4.95,5.04333333333334,4.9875,10.9,5.01727272727273,4.95,4.85,5.0,4.9875,9.8,4.99444444444444,5.0,4.85,5.0,5.0,9.85,5.0,4.95,5.0,5.025,5.0,9.95,5.01111111111111
7.0,6.95,5.42857142857143,5.43214285714286,13.95,5.43021978021978,6.8,7.0,5.42428571428572,5.42857142857143,13.8,5.42710622710623,6.85,6.8,5.40071428571429,5.38571428571429,13.65,5.3992673992674,6.85,6.95,5.42928571428571,5.3952380952381,13.8,5.41488095238095,6.9,6.95,5.40476190476191,5.38690476190476,13.85,5.39615384615385,6.9,6.85,5.56,5.35166666666667,13.75,5.45695970695971,6.95,6.85,5.36190476190476,5.49464285714286,13.8,5.42562437562438,6.95,6.15,5.12976190476191,5.0152380952381,13.1,5.0771978021978,5.7,5.05,5.31666666666666,4.9625,10.75,5.15290404040404,4.95,4.8,4.9875,5.025,9.75,5.00555555555555,4.95,4.95,5.025,5.0,9.9,5.01111111111111
8.0,7.85,5.375,5.39107142857143,15.85,5.38226190476191,7.8,8.0,5.36994047619048,5.375,15.8,5.37303571428571,7.8,7.8,5.35416666666667,5.3375,15.6,5.35,7.85,7.95,5.38720238095238,5.36428571428571,15.8,5.37767857142857,7.9,7.95,5.32857142857143,5.33839285714286,15.85,5.33375,7.85,7.85,5.50029761904762,5.31279761904762,15.7,5.40690476190476,8.15,7.85,5.31081349206349,5.46125,16.0,5.38606711915535,7.9,7.35,5.08333333333333,5.11994047619048,15.25,5.10139880952381,6.6,5.75,5.40119047619048,4.99464285714286,12.35,5.22020646020646,4.9,4.8,5.0,5.025,9.7,5.01111111111111,4.95,4.95,5.025,5.0,9.9,5.01111111111111
11.0,10.8,5.54545454545455,5.56868686868687,21.8,5.55590909090909,10.75,11.0,5.5369696969697,5.54545454545455,21.75,5.5419696969697,10.65,10.7,5.51768398268398,5.4988455988456,21.35,5.51753322700691,10.5,10.55,5.54637085137085,5.48397727272727,21.05,5.52122315592904,10.5,10.4,5.49034090909091,5.4439898989899,20.9,5.46713553044823,11.1,9.15,5.65388888888889,5.22222222222222,20.25,5.46169002050581,10.6,9.0,5.3909595959596,5.37027777777778,19.6,5.38804277851491,10.2,7.85,5.02988636363636,5.19414682539683,18.05,5.10095480736154,7.65,6.65,5.4781746031746,4.93928571428571,14.3,5.22577651515151,5.8,4.75,5.14416666666667,5.0125,10.55,5.08772727272727,4.95,4.95,5.025,5.0,9.9,5.01111111111111
14.0,13.8,5.42857142857143,5.44404761904762,27.8,5.43571428571429,13.4,13.95,5.43051282051282,5.42252747252747,27.35,5.42681481481482,13.65,13.6,5.40620879120879,5.38571428571429,27.25,5.40216594999204,13.3,13.6,5.43257409257409,5.41643356643357,26.9,5.42688885188885,13.45,13.35,5.39249084249084,5.36853146853147,26.8,5.38083353683354,13.75,10.8,5.47067765567766,5.40888888888889,24.55,5.44613819875776,13.25,10.8,5.31366133866134,5.66719696969697,24.05,5.47639607493955,12.95,9.75,5.02068764568765,5.1882702020202,22.7,5.09446847355543,9.4,7.25,5.38973484848485,5.05353174603175,16.65,5.24582574696545,6.75,4.65,5.14547619047619,5.025,11.4,5.09974747474748,5.75,4.9,4.98333333333333,5.025,10.65,4.99747474747475
13.95,13.75,5.43021978021978,5.44184981684982,27.7,5.43543956043956,13.35,13.9,5.43985347985348,5.42417582417583,27.25,5.43210582010582,13.6,13.6,5.40785714285714,5.38571428571429,27.2,5.40295960078569,14.15,14.2,5.51124016914458,5.44735576923077,28.35,5.48427842838577,14.1,13.9,5.43815476190476,5.39491633366633,28.0,5.41603908958219,14.3,13.8,5.53601190476191,5.37032967032967,28.1,5.46082611801744,14.15,13.6,5.38544184981685,5.53193223443223,27.75,5.4587174561138,13.5,10.9,5.03604395604396,5.16776223776224,24.4,5.09455983549462,9.65,7.8,5.41015151515151,5.02327380952381,17.45,5.23159387439186,6.75,4.75,5.14547619047619,5.03333333333333,11.5,5.10359362859363,5.75,4.9,5.005,5.025,10.65,5.01020202020202
19.9,19.6,5.70388888888889,5.71924707602339,39.5,5.71074649548334,19.2,19.75,5.71122807017544,5.69307189542484,38.95,5.70203161842481,19.25,19.4,5.67377923976608,5.65291666666667,38.65,5.67394527986633,18.5,18.65,5.71432220256524,5.6587790247678,37.15,5.69608086921167,18.55,18.2,5.68650397439678,5.60074644331417,36.75,5.64653240933427,19.45,16.3,5.76177422723475,5.38209457467197,35.75,5.59529198183997,18.55,14.75,5.51577485380117,5.5785405184341,33.3,5.55787326768311,16.8,13.05,5.07756581546249,5.23859224109224,29.85,5.15132618383244,10.65,8.1,5.37800699300699,5.01132936507937,18.75,5.20974335068956,6.75,5.4,5.1097619047619,5.17166666666667,12.15,5.1381993006993,5.75,4.9,5.005,5.025,10.65,5.01020202020202
