forward_num_growth_compet_mut_0.10,reverse_num_growth_compet_mut_0.10,forward_rate_growth_compet_mut_0.10,reverse_rate_growth_compet_mut_0.10,organism_num_growth_compet_mut_0.10,organism_rate_growth_compet_mut_0.10,forward_num_growth_compet_mut_0.15,reverse_num_growth_compet_mut_0.15,forward_rate_growth_compet_mut_0.15,reverse_rate_growth_compet_mut_0.15,organism_num_growth_compet_mut_0.15,organism_rate_growth_compet_mut_0.15,forward_num_growth_compet_mut_0.20,reverse_num_growth_compet_mut_0.20,forward_rate_growth_compet_mut_0.20,reverse_rate_growth_compet_mut_0.20,organism_num_growth_compet_mut_0.20,organism_rate_growth_compet_mut_0.20,forward_num_growth_compet_mut_0.25,reverse_num_growth_compet_mut_0.25,forward_rate_growth_compet_mut_0.25,reverse_rate_growth_compet_mut_0.25,organism_num_growth_compet_mut_0.25,organism_rate_growth_compet_mut_0.25,forward_num_growth_compet_mut_0.30,reverse_num_growth_compet_mut_0.30,forward_rate_growth_compet_mut_0.30,reverse_rate_growth_compet_mut_0.30,organism_num_growth_compet_mut_0.30,organism_rate_growth_compet_mut_0.30,forward_num_growth_compet_mut_0.35,reverse_num_growth_compet_mut_0.35,forward_rate_growth_compet_mut_0.35,reverse_rate_growth_compet_mut_0.35,organism_num_growth_compet_mut_0.35,organism_rate_growth_compet_mut_0.35,forward_num_growth_compet_mut_0.40,reverse_num_growth_compet_mut_0.40,forward_rate_growth_compet_mut_0.40,reverse_rate_growth_compet_mut_0.40,organism_num_growth_compet_mut_0.40,organism_rate_growth_compet_mut_0.40,forward_num_growth_compet_mut_0.45,reverse_num_growth_compet_mut_0.45,forward_rate_growth_compet_mut_0.45,reverse_rate_growth_compet_mut_0.45,organism_num_growth_compet_mut_0.45,organism_rate_growth_compet_mut_0.45,forward_num_growth_compet_mut_0.50,reverse_num_growth_compet_mut_0.50,forward_rate_growth_compet_mut_0.50,reverse_rate_growth_compet_mut_0.50,organism_num_growth_compet_mut_0.50,organism_rate_growth_compet_mut_0.50,forward_num_growth_compet_mut_0.55,reverse_num_growth_compet_mut_0.55,forward_rate_growth_compet_mut_0.55,reverse_rate_growth_compet_mut_0.55,organism_num_growth_compet_mut_0.55,organism_rate_growth_compet_mut_0.55,forward_num_growth_compet_mut_0.60,reverse_num_growth_compet_mut_0.60,forward_rate_growth_compet_mut_0.60,reverse_rate_growth_compet_mut_0.60,organism_num_growth_compet_mut_0.60,organism_rate_growth_compet_mut_0.60
5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0
5.0,4.9,5.0,4.95,9.9,4.97777777777778,5.0,5.0,5.0,5.0,10.0,5.0,5.0,4.9,5.0,5.05,9.9,5.02222222222222,5.0,4.9,5.0,4.95,9.9,4.97777777777778,5.0,5.0,5.0,5.0,10.0,5.0,5.0,4.8,5.0,4.975,9.8,4.98888888888889,4.9,5.0,4.975,5.0,9.9,4.98888888888889,5.0,4.9,5.0,4.975,9.9,4.98888888888889,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,4.9,5.0,4.975,5.0,9.9,4.98888888888889
5.0,4.9,5.0,4.95,9.9,4.97777777777778,5.0,4.9,5.0,5.05,9.9,5.02222222222222,5.0,4.9,5.0,5.05,9.9,5.02222222222222,5.0,4.9,5.0,4.95,9.9,4.97777777777778,5.0,5.0,5.0,5.0,10.0,5.0,5.0,4.8,5.0,4.975,9.8,4.98888888888889,4.9,5.0,4.975,5.0,9.9,4.98888888888889,5.0,4.9,5.0,4.975,9.9,4.98888888888889,4.9,5.0,4.975,5.0,9.9,4.98888888888889,5.0,5.0,5.0,5.0,10.0,5.0,4.9,5.0,4.975,5.0,9.9,4.98888888888889
6.0,5.6,5.33333333333333,5.16666666666666,11.6,5.26666666666666,6.0,5.9,5.33333333333333,5.38,11.9,5.35454545454545,6.0,5.8,5.33333333333333,5.40666666666666,11.8,5.36666666666666,5.9,5.8,5.41333333333333,5.26666666666667,11.7,5.34530303030303,5.9,5.9,5.39666666666667,5.31666666666667,11.8,5.35454545454545,6.0,4.9,5.33333333333333,4.975,10.9,5.17242424242424,5.9,5.0,5.33,5.0,10.9,5.17636363636363,6.0,4.8,4.66666666666667,4.975,10.8,4.80454545454546,5.9,5.0,4.50333333333333,5.0,10.9,4.73272727272728,5.8,5.0,4.5,5.0,10.8,4.73232323232323,5.2,5.0,4.825,5.0,10.2,4.90707070707071
7.0,6.6,5.42857142857143,5.30285714285714,13.6,5.37619047619048,7.0,6.9,5.42857142857143,5.46904761904762,13.9,5.44725274725275,7.0,6.8,5.42857142857143,5.49285714285714,13.8,5.45824175824176,6.8,6.8,5.47857142857143,5.47142857142857,13.6,5.47664835164835,6.9,7.0,5.48095238095238,5.57142857142857,13.9,5.52527472527473,7.0,6.6,5.48571428571429,5.33904761904762,13.6,5.41721611721612,6.7,6.8,5.33238095238095,5.44285714285714,13.5,5.38250915750916,6.9,5.8,4.9,4.77333333333334,12.7,4.84615384615384,6.8,5.8,4.69142857142857,4.61666666666667,12.6,4.65687645687646,6.8,5.1,3.98,4.95,11.9,4.39641025641026,6.8,5.0,4.02,5.0,11.8,4.435
8.0,7.5,5.375,5.30059523809524,15.5,5.34440476190476,8.0,7.8,5.375,5.38571428571428,15.8,5.38,7.9,7.7,5.39464285714286,5.40535714285714,15.6,5.40011904761905,7.8,7.8,5.41607142857143,5.34583333333333,15.6,5.3835119047619,7.9,8.0,5.41785714285714,5.45,15.9,5.43416666666667,8.0,7.6,5.475,5.29464285714286,15.6,5.39154761904762,8.2,7.8,5.37261904761905,5.275,16.0,5.33632352941177,7.9,7.0,4.91964285714286,4.74488095238095,14.9,4.84973443223443,7.7,7.0,4.69880952380952,4.58571428571429,14.7,4.64468864468865,7.7,5.9,4.68333333333333,4.55,13.6,4.62435897435897,7.7,5.1,4.81666666666667,4.95,12.8,4.86293706293707
11.0,10.1,5.54545454545455,5.40467532467533,21.1,5.4929292929293,11.0,10.5,5.54545454545455,5.54949494949495,21.5,5.54822510822511,10.8,10.5,5.57979797979798,5.5729292929293,21.3,5.57602870813397,10.4,10.1,5.60020202020202,5.44324675324675,20.5,5.52876402235535,10.4,10.4,5.63979797979798,5.62636363636364,20.8,5.63417179311916,11.0,8.9,5.7119696969697,5.15523809523809,19.9,5.48746905141642,10.4,9.4,5.54267676767677,5.17555555555556,19.8,5.38126300599985,10.5,7.8,4.6939393939394,4.85972222222222,18.3,4.77442724458204,10.1,8.0,4.60886363636364,4.6375,18.1,4.62995571035432,9.6,6.9,4.83507936507936,4.03333333333333,16.5,4.49385504201681,8.9,6.1,5.22365079365079,4.45,15.0,4.90127747252747
14.0,12.9,5.42857142857143,5.33272727272727,26.9,5.38933333333333,14.0,13.2,5.42857142857143,5.46373626373626,27.2,5.44521774521774,13.7,13.3,5.47106227106227,5.47424242424243,27.0,5.47187096317531,13.1,13.3,5.47591575091575,5.36289377289377,26.4,5.42313797313797,13.1,14.0,5.55631035631036,5.58571428571429,27.1,5.57004924704925,14.1,10.0,5.67985347985348,5.37527777777778,24.1,5.56680745341615,12.9,10.7,5.18749084249084,5.32287878787879,23.6,5.26812538910365,12.7,9.2,4.75080586080586,4.72446608946609,21.9,4.74474559257168,12.5,8.5,4.52326007326007,4.64,21.0,4.58485346707853,12.4,7.9,4.63703962703963,4.78928571428571,20.3,4.69444444444444,11.7,7.0,4.97039627039627,4.0,18.7,4.6028775369797
13.8,12.8,5.41978021978022,5.32833166833167,26.6,5.38298412698413,14.0,13.2,5.42857142857143,5.46373626373626,27.2,5.44521774521774,13.6,13.3,5.4953046953047,5.47424242424243,26.9,5.48451918451919,14.6,13.8,5.58005952380952,5.4303081232493,28.4,5.51610280042538,14.6,14.6,5.56658882783883,5.63983058608059,29.2,5.60213953187257,14.9,13.4,5.72653657616893,5.35540417915418,28.3,5.57680190805775,15.0,13.4,5.28552393684747,5.20375457875458,28.4,5.27047885703058,13.3,10.3,4.73862637362637,4.58194444444445,23.6,4.67827626111493,13.6,10.3,4.4821978021978,4.65090909090909,23.9,4.56736845039019,13.4,8.2,4.54505494505494,4.89761904761905,21.6,4.68088719823274,13.3,7.7,4.79229104229104,4.525,21.0,4.69479266347688
19.8,17.9,5.69684210526316,5.54258771929825,37.7,5.64047008547009,20.0,18.7,5.7,5.72978070175439,38.7,5.71517768780927,19.6,19.0,5.75009287925697,5.72888888888889,38.6,5.7405169099906,18.5,17.1,5.75701213818861,5.61737659098727,35.6,5.7014338729122,18.3,18.4,5.84469857241142,5.83927760577915,36.7,5.84347769877182,19.1,16.3,5.90359362644579,5.36898039782715,35.4,5.69128125225748,18.0,15.1,5.14917010663915,5.3776280255692,33.1,5.2812259208986,16.1,12.6,4.67556120693891,4.78359806859807,28.7,4.73169898665619,16.1,11.3,4.35960784313726,4.60170163170163,27.4,4.48672627819179,16.1,10.4,4.71448394742513,4.89727272727273,26.5,4.78596526340005,15.4,8.0,5.08738229907348,4.75,23.4,4.96945351025786
