forward_num_growth_compet_nomut_0.10,reverse_num_growth_compet_nomut_0.10,forward_rate_growth_compet_nomut_0.10,reverse_rate_growth_compet_nomut_0.10,organism_num_growth_compet_nomut_0.10,organism_rate_growth_compet_nomut_0.10,forward_num_growth_compet_nomut_0.15,reverse_num_growth_compet_nomut_0.15,forward_rate_growth_compet_nomut_0.15,reverse_rate_growth_compet_nomut_0.15,organism_num_growth_compet_nomut_0.15,organism_rate_growth_compet_nomut_0.15,forward_num_growth_compet_nomut_0.20,reverse_num_growth_compet_nomut_0.20,forward_rate_growth_compet_nomut_0.20,reverse_rate_growth_compet_nomut_0.20,organism_num_growth_compet_nomut_0.20,organism_rate_growth_compet_nomut_0.20,forward_num_growth_compet_nomut_0.25,reverse_num_growth_compet_nomut_0.25,forward_rate_growth_compet_nomut_0.25,reverse_rate_growth_compet_nomut_0.25,organism_num_growth_compet_nomut_0.25,organism_rate_growth_compet_nomut_0.25,forward_num_growth_compet_nomut_0.30,reverse_num_growth_compet_nomut_0.30,forward_rate_growth_compet_nomut_0.30,reverse_rate_growth_compet_nomut_0.30,organism_num_growth_compet_nomut_0.30,organism_rate_growth_compet_nomut_0.30,forward_num_growth_compet_nomut_0.35,reverse_num_growth_compet_nomut_0.35,forward_rate_growth_compet_nomut_0.35,reverse_rate_growth_compet_nomut_0.35,organism_num_growth_compet_nomut_0.35,organism_rate_growth_compet_nomut_0.35,forward_num_growth_compet_nomut_0.40,reverse_num_growth_compet_nomut_0.40,forward_rate_growth_compet_nomut_0.40,reverse_rate_growth_compet_nomut_0.40,organism_num_growth_compet_nomut_0.40,organism_rate_growth_compet_nomut_0.40,forward_num_growth_compet_nomut_0.45,reverse_num_growth_compet_nomut_0.45,forward_rate_growth_compet_nomut_0.45,reverse_rate_growth_compet_nomut_0.45,organism_num_growth_compet_nomut_0.45,organism_rate_growth_compet_nomut_0.45,forward_num_growth_compet_nomut_0.50,reverse_num_growth_compet_nomut_0.50,forward_rate_growth_compet_nomut_0.50,reverse_rate_growth_compet_nomut_0.50,organism_num_growth_compet_nomut_0.50,organism_rate_growth_compet_nomut_0.50,forward_num_growth_compet_nomut_0.55,reverse_num_growth_compet_nomut_0.55,forward_rate_growth_compet_nomut_0.55,reverse_rate_growth_compet_nomut_0.55,organism_num_growth_compet_nomut_0.55,organism_rate_growth_compet_nomut_0.55,forward_num_growth_compet_nomut_0.60,reverse_num_growth_compet_nomut_0.60,forward_rate_growth_compet_nomut_0.60,reverse_rate_growth_compet_nomut_0.60,organism_num_growth_compet_nomut_0.60,organism_rate_growth_compet_nomut_0.60
5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0
4.9,4.9,5.025,5.025,9.8,5.02222222222222,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,4.9,4.9,4.975,5.0,9.8,4.98888888888889,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,4.9,5.0,5.025,5.0,9.9,5.01111111111111,5.0,5.0,5.0,5.0,10.0,5.0
4.9,4.9,5.025,5.025,9.8,5.02222222222222,4.8,4.9,5.0,5.05,9.7,5.02222222222222,5.0,5.0,5.0,5.0,10.0,5.0,5.0,4.9,5.0,4.975,9.9,4.98888888888889,4.9,5.0,4.975,5.0,9.9,4.98888888888889,5.0,5.0,5.0,5.0,10.0,5.0,4.9,4.8,4.975,5.025,9.7,5.0,4.9,5.0,4.95,5.0,9.9,4.97777777777778,5.0,5.0,5.0,5.0,10.0,5.0,4.9,5.0,5.025,5.0,9.9,5.01111111111111,5.0,5.0,5.0,5.0,10.0,5.0
5.9,5.9,5.36,5.36,11.8,5.35757575757575,5.7,5.9,5.29666666666666,5.38,11.6,5.34242424242424,6.0,6.0,5.33333333333333,5.33333333333333,12.0,5.33333333333333,6.0,5.8,5.33333333333333,5.34666666666666,11.8,5.33939393939394,5.8,5.9,5.30666666666666,5.3,11.7,5.3060606060606,6.0,4.9,5.33333333333333,5.0,10.9,5.18363636363636,5.9,4.7,5.32,5.09166666666667,10.6,5.21171717171717,5.8,4.9,5.25,5.0,10.7,5.14323232323232,6.0,5.0,5.33333333333333,5.0,11.0,5.18181818181818,5.9,5.0,5.36,5.0,10.9,5.19363636363636,5.6,5.0,5.2,5.0,10.6,5.10909090909091
6.9,6.9,5.45238095238095,5.45238095238095,13.8,5.45054945054945,6.7,6.9,5.40619047619048,5.46904761904762,13.6,5.43974358974359,7.0,7.0,5.42857142857143,5.42857142857143,14.0,5.42857142857143,7.0,6.7,5.42857142857143,5.42952380952381,13.7,5.43003663003663,6.6,7.0,5.38285714285714,5.42857142857143,13.6,5.40952380952381,7.0,6.9,5.42857142857143,5.43571428571429,13.9,5.43186813186813,6.8,6.7,5.40571428571429,5.50952380952381,13.5,5.45384615384616,6.8,6.1,5.36571428571429,5.35904761904762,12.9,5.3672410922411,6.9,5.9,5.41904761904762,5.3,12.8,5.36602564102564,6.8,4.9,5.44285714285714,5.0,11.7,5.25636363636364,7.0,5.0,5.42857142857143,5.0,12.0,5.25
7.7,7.9,5.34047619047619,5.39464285714286,15.6,5.37011904761905,7.7,7.9,5.3547619047619,5.40892857142857,15.6,5.38345238095238,8.0,7.9,5.375,5.35178571428571,15.9,5.36416666666667,8.0,7.7,5.375,5.37380952380952,15.7,5.3752380952381,7.6,8.0,5.33333333333333,5.375,15.6,5.35714285714286,8.0,7.7,5.375,5.36428571428571,15.7,5.36952380952381,7.7,7.5,5.33095238095238,5.44821428571429,15.2,5.38427655677656,7.8,7.6,5.32083333333333,5.39821428571429,15.4,5.36214285714286,7.8,7.0,5.3375,5.42857142857143,14.8,5.38307692307692,7.8,5.8,5.38571428571429,5.30666666666666,13.6,5.3525641025641,7.9,5.3,5.39464285714286,5.1,13.2,5.27912087912088
10.4,10.8,5.4966810966811,5.57979797979798,21.2,5.54404040404041,10.4,10.9,5.51324675324675,5.57090909090909,21.3,5.54949494949495,11.0,10.8,5.54545454545455,5.51313131313132,21.8,5.53090909090909,11.0,10.5,5.54545454545455,5.56830808080808,21.5,5.55478468899522,10.6,10.7,5.52525252525253,5.49858585858586,21.3,5.51489177489178,11.0,8.7,5.54545454545455,5.20634920634921,19.7,5.39602339181287,10.6,8.3,5.5030303030303,5.29464285714286,18.9,5.40888200894393,10.6,7.9,5.46233766233767,5.36230158730159,18.5,5.42644994840042,10.6,7.9,5.51886363636364,5.38035714285714,18.5,5.46213450292398,10.6,6.8,5.59070707070707,5.45952380952381,17.4,5.53639705882353,10.0,6.0,5.47818181818182,5.33333333333333,16.0,5.42394957983193
13.2,13.8,5.43,5.45238095238095,27.0,5.44551282051282,13.2,13.8,5.44666666666667,5.46904761904762,27.0,5.45842490842491,13.6,13.8,5.40952380952381,5.40238095238095,27.4,5.40769230769231,14.0,13.2,5.42857142857143,5.42285714285714,27.2,5.42619047619048,13.2,13.8,5.38285714285714,5.40238095238095,27.0,5.3974358974359,14.0,10.7,5.42857142857143,5.52904040404041,24.7,5.47295652173913,13.4,10.3,5.37952380952381,5.62616161616162,23.7,5.48521710897798,13.5,9.6,5.36901098901099,5.39010101010101,23.1,5.38133333333333,13.5,8.6,5.3967032967033,5.28333333333333,22.1,5.35420220511754,13.5,7.7,5.45384615384615,5.40714285714286,21.2,5.43458152958153,12.5,7.0,5.42487512487512,5.42857142857143,19.5,5.42597744360902
13.2,13.8,5.43,5.45238095238095,27.0,5.44551282051282,13.2,13.8,5.44666666666667,5.46904761904762,27.0,5.45842490842491,13.6,13.8,5.40952380952381,5.40238095238095,27.4,5.40769230769231,14.0,13.2,5.42857142857143,5.42285714285714,27.2,5.42619047619048,13.1,13.7,5.37846153846154,5.39798534798535,26.8,5.39320309320309,13.9,13.6,5.44725274725275,5.40952380952381,27.5,5.42877492877493,13.2,13.1,5.38611721611722,5.5032967032967,26.3,5.44214754649537,13.5,11.1,5.36901098901099,5.50318181818182,24.6,5.43260614747572,13.5,11.0,5.3967032967033,5.54545454545455,24.5,5.4667380952381,13.5,7.9,5.45384615384615,5.3765873015873,21.4,5.42107409498714,13.6,8.0,5.44358974358975,5.375,21.6,5.41755411255411
18.8,19.8,5.66222222222222,5.71888888888889,38.6,5.7008918128655,18.8,19.8,5.67333333333333,5.73,38.6,5.71013157894737,19.6,19.6,5.69333333333334,5.6675,39.2,5.68239766081871,20.0,19.2,5.7,5.71,39.2,5.70444444444445,19.1,19.2,5.68342105263158,5.66042397660819,38.3,5.67486729644624,19.9,15.4,5.71421052631579,5.36428571428571,35.3,5.56130485527545,18.9,13.5,5.65976608187134,5.48915750915751,32.4,5.58623825336586,19.0,13.7,5.62111111111111,5.43901098901099,32.7,5.55393185246127,19.3,11.2,5.66751879699248,5.5280303030303,30.5,5.61897177419355,19.3,10.0,5.73228070175439,5.49240981240982,29.3,5.65089432703003,17.6,8.0,5.57546808196963,5.375,25.6,5.51357575757576
