forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
50,50,5.0,5.0,100,5.0
49,47,5.0,5.0,96,5.0
48,47,5.0,5.0,95,5.0
48,45,5.0,5.0,93,5.0
48,45,5.0,5.0,93,5.0
48,44,5.0,5.0,92,5.0
47,44,5.0,5.0,91,5.0
46,44,5.0,5.0,90,5.0
44,44,5.0,5.0,88,5.0
44,44,5.0,5.0,88,5.0
44,44,5.0,5.0,88,5.0
44,44,5.0,5.0,88,5.0
44,44,5.0,5.0,88,5.0
43,44,5.0,5.0,87,5.0
42,44,5.0,5.0,86,5.0
42,43,5.0,5.0,85,5.0
42,43,5.0,5.0,85,5.0
42,43,5.0,5.0,85,5.0
42,42,5.0,5.0,84,5.0
42,42,5.0,5.0,84,5.0
42,42,5.0,5.0,84,5.0
60,39,5.0,5.0,99,5.0
63,36,5.0,5.0,99,5.0
61,38,5.0,5.0,99,5.0
56,43,5.0,5.0,99,5.0
53,46,5.0,5.0,99,5.0
48,48,5.0,5.0,96,5.0
48,48,5.0,5.0,96,5.0
45,48,5.0,5.0,93,5.0
45,47,5.0,5.0,92,5.0
45,47,5.0,5.0,92,5.0
45,46,5.0,5.0,91,5.0
43,45,5.0,5.0,88,5.0
43,44,5.0,5.0,87,5.0
43,44,5.0,5.0,87,5.0
43,44,5.0,5.0,87,5.0
43,44,5.0,5.0,87,5.0
43,44,5.0,5.0,87,5.0
43,44,5.0,5.0,87,5.0
43,44,5.0,5.0,87,5.0
43,43,5.0,5.0,86,5.0
58,41,5.0,5.0,99,5.0
59,40,5.0,5.0,99,5.0
61,38,5.0,5.0,99,5.0
58,41,5.0,5.0,99,5.0
55,44,5.0,5.0,99,5.0
48,51,5.0,5.0,99,5.0
43,53,5.0,5.0,96,5.0
42,53,5.0,5.0,95,5.0
41,52,5.0,5.0,93,5.0
41,52,5.0,5.0,93,5.0
41,51,5.0,5.0,92,5.0
41,48,5.0,5.0,89,5.0
40,48,5.0,5.0,88,5.0
39,48,5.0,5.0,87,5.0
39,47,5.0,5.0,86,5.0
39,47,5.0,5.0,86,5.0
39,47,5.0,5.0,86,5.0
39,47,5.0,5.0,86,5.0
39,47,5.0,5.0,86,5.0
39,47,5.0,5.0,86,5.0
51,47,5.0,5.0,98,5.0
51,46,5.0,5.0,97,5.0
58,41,5.0,5.0,99,5.0
57,42,5.0,5.0,99,5.0
55,44,5.0,5.0,99,5.0
51,48,5.0,5.0,99,5.0
46,53,5.0,5.0,99,5.0
45,50,5.0,5.0,95,5.0
43,49,5.0,5.0,92,5.0
43,48,5.0,5.0,91,5.0
43,48,5.0,5.0,91,5.0
42,48,5.0,5.0,90,5.0
42,47,5.0,5.0,89,5.0
41,47,5.0,5.0,88,5.0
41,47,5.0,5.0,88,5.0
41,47,5.0,5.0,88,5.0
41,47,5.0,5.0,88,5.0
41,46,5.0,5.0,87,5.0
41,45,5.0,5.0,86,5.0
41,45,5.0,5.0,86,5.0
48,45,5.0,5.0,93,5.0
55,42,5.0,5.0,97,5.0
59,40,5.0,5.0,99,5.0
60,39,5.0,5.0,99,5.0
56,43,5.0,5.0,99,5.0
53,46,5.0,5.0,99,5.0
48,51,5.0,5.0,99,5.0
45,53,5.0,5.0,98,5.0
43,52,5.0,5.0,95,5.0
43,52,5.0,5.0,95,5.0
43,52,5.0,5.0,95,5.0
42,52,5.0,5.0,94,5.0
42,51,5.0,5.0,93,5.0
42,51,5.0,5.0,93,5.0
42,50,5.0,5.0,92,5.0
41,50,5.0,5.0,91,5.0
40,48,5.0,5.0,88,5.0
40,47,5.0,5.0,87,5.0
39,47,5.0,5.0,86,5.0
39,47,5.0,5.0,86,5.0
39,47,5.0,5.0,86,5.0
53,45,5.0,5.0,98,5.0
55,44,5.0,5.0,99,5.0
57,41,5.0,5.0,98,5.0
56,43,5.0,5.0,99,5.0
50,49,5.0,5.0,99,5.0
47,52,5.0,5.0,99,5.0
43,56,5.0,5.0,99,5.0
40,56,5.0,5.0,96,5.0
39,53,5.0,5.0,92,5.0
38,53,5.0,5.0,91,5.0
37,52,5.0,5.0,89,5.0
37,52,5.0,5.0,89,5.0
37,52,5.0,5.0,89,5.0
37,52,5.0,5.0,89,5.0
37,52,5.0,5.0,89,5.0
36,52,5.0,5.0,88,5.0
36,52,5.0,5.0,88,5.0
36,52,5.0,5.0,88,5.0
36,52,5.0,5.0,88,5.0
35,50,5.0,5.0,85,5.0
49,48,5.0,5.0,97,5.0
51,43,5.0,5.0,94,5.0
58,41,5.0,5.0,99,5.0
55,44,5.0,5.0,99,5.0
49,50,5.0,5.0,99,5.0
45,54,5.0,5.0,99,5.0
41,58,5.0,5.0,99,5.0
38,59,5.0,5.0,97,5.0
37,58,5.0,5.0,95,5.0
37,57,5.0,5.0,94,5.0
37,56,5.0,5.0,93,5.0
37,54,5.0,5.0,91,5.0
37,53,5.0,5.0,90,5.0
36,53,5.0,5.0,89,5.0
36,51,5.0,5.0,87,5.0
35,51,5.0,5.0,86,5.0
35,51,5.0,5.0,86,5.0
35,51,5.0,5.0,86,5.0
35,51,5.0,5.0,86,5.0
35,49,5.0,5.0,84,5.0
44,49,5.0,5.0,93,5.0
45,49,5.0,5.0,94,5.0
52,47,5.0,5.0,99,5.0
52,47,5.0,5.0,99,5.0
51,48,5.0,5.0,99,5.0
45,54,5.0,5.0,99,5.0
40,59,5.0,5.0,99,5.0
37,62,5.0,5.0,99,5.0
34,61,5.0,5.0,95,5.0
34,61,5.0,5.0,95,5.0
34,59,5.0,5.0,93,5.0
34,57,5.0,5.0,91,5.0
34,57,5.0,5.0,91,5.0
34,56,5.0,5.0,90,5.0
34,55,5.0,5.0,89,5.0
34,55,5.0,5.0,89,5.0
34,54,5.0,5.0,88,5.0
34,54,5.0,5.0,88,5.0
33,54,5.0,5.0,87,5.0
33,54,5.0,5.0,87,5.0
39,54,5.0,5.0,93,5.0
45,52,5.0,5.0,97,5.0
50,49,5.0,5.0,99,5.0
51,48,5.0,5.0,99,5.0
47,52,5.0,5.0,99,5.0
47,52,5.0,5.0,99,5.0
43,56,5.0,5.0,99,5.0
40,58,5.0,5.0,98,5.0
38,59,5.0,5.0,97,5.0
37,56,5.0,5.0,93,5.0
37,56,5.0,5.0,93,5.0
36,55,5.0,5.0,91,5.0
36,55,5.0,5.0,91,5.0
35,55,5.0,5.0,90,5.0
35,55,5.0,5.0,90,5.0
35,55,5.0,5.0,90,5.0
35,54,5.0,5.0,89,5.0
35,54,5.0,5.0,89,5.0
35,54,5.0,5.0,89,5.0
35,54,5.0,5.0,89,5.0
35,54,5.0,5.0,89,5.0
46,51,5.0,5.0,97,5.0
48,50,5.0,5.0,98,5.0
52,47,5.0,5.0,99,5.0
50,47,5.0,5.0,97,5.0
49,50,5.0,5.0,99,5.0
44,55,5.0,5.0,99,5.0
40,59,5.0,5.0,99,5.0
37,62,5.0,5.0,99,5.0
37,59,5.0,5.0,96,5.0
37,58,5.0,5.0,95,5.0
36,58,5.0,5.0,94,5.0
36,58,5.0,5.0,94,5.0
36,57,5.0,5.0,93,5.0
36,57,5.0,5.0,93,5.0
35,57,5.0,5.0,92,5.0
34,57,5.0,5.0,91,5.0
33,57,5.0,5.0,90,5.0
33,57,5.0,5.0,90,5.0
32,56,5.0,5.0,88,5.0
32,56,5.0,5.0,88,5.0
44,54,5.0,5.0,98,5.0
43,53,5.0,5.0,96,5.0
49,50,5.0,5.0,99,5.0
49,50,5.0,5.0,99,5.0
46,52,5.0,5.0,98,5.0
42,57,5.0,5.0,99,5.0
39,60,5.0,5.0,99,5.0
34,65,5.0,5.0,99,5.0
31,67,5.0,5.0,98,5.0
30,66,5.0,5.0,96,5.0
30,65,5.0,5.0,95,5.0
29,64,5.0,5.0,93,5.0
29,64,5.0,5.0,93,5.0
28,64,5.0,5.0,92,5.0
28,64,5.0,5.0,92,5.0
28,63,5.0,5.0,91,5.0
27,61,5.0,5.0,88,5.0
25,61,5.0,5.0,86,5.0
25,61,5.0,5.0,86,5.0
25,60,5.0,5.0,85,5.0
35,60,5.0,5.0,95,5.0
35,59,5.0,5.0,94,5.0
42,56,5.0,5.0,98,5.0
47,52,5.0,5.0,99,5.0
45,51,5.0,5.0,96,5.0
40,59,5.0,5.0,99,5.0
35,64,5.0,5.0,99,5.0
33,66,5.0,5.0,99,5.0
32,67,5.0,5.0,99,5.0
32,64,5.0,5.0,96,5.0
32,62,5.0,5.0,94,5.0
32,60,5.0,5.0,92,5.0
32,60,5.0,5.0,92,5.0
31,60,5.0,5.0,91,5.0
31,59,5.0,5.0,90,5.0
30,59,5.0,5.0,89,5.0
29,59,5.0,5.0,88,5.0
29,58,5.0,5.0,87,5.0
29,57,5.0,5.0,86,5.0
29,56,5.0,5.0,85,5.0
38,56,5.0,5.0,94,5.0
42,55,5.0,5.0,97,5.0
46,53,5.0,5.0,99,5.0
51,48,5.0,5.0,99,5.0
54,44,5.0,5.0,98,5.0
50,49,5.0,5.0,99,5.0
44,55,5.0,5.0,99,5.0
42,56,5.0,5.0,98,5.0
40,59,5.0,5.0,99,5.0
39,56,5.0,5.0,95,5.0
38,54,5.0,5.0,92,5.0
37,54,5.0,5.0,91,5.0
36,54,5.0,5.0,90,5.0
36,54,5.0,5.0,90,5.0
35,54,5.0,5.0,89,5.0
35,54,5.0,5.0,89,5.0
35,53,5.0,5.0,88,5.0
35,53,5.0,5.0,88,5.0
35,52,5.0,5.0,87,5.0
35,51,5.0,5.0,86,5.0
34,51,5.0,5.0,85,5.0
46,50,5.0,5.0,96,5.0
49,50,5.0,5.0,99,5.0
54,45,5.0,5.0,99,5.0
55,43,5.0,5.0,98,5.0
55,42,5.0,5.0,97,5.0
50,49,5.0,5.0,99,5.0
47,51,5.0,5.0,98,5.0
46,51,5.0,5.0,97,5.0
43,54,5.0,5.0,97,5.0
42,54,5.0,5.0,96,5.0
42,53,5.0,5.0,95,5.0
42,52,5.0,5.0,94,5.0
42,52,5.0,5.0,94,5.0
40,52,5.0,5.0,92,5.0
38,51,5.0,5.0,89,5.0
38,50,5.0,5.0,88,5.0
38,50,5.0,5.0,88,5.0
38,49,5.0,5.0,87,5.0
38,49,5.0,5.0,87,5.0
38,49,5.0,5.0,87,5.0
51,46,5.0,5.0,97,5.0
51,46,5.0,5.0,97,5.0
54,45,5.0,5.0,99,5.0
57,42,5.0,5.0,99,5.0
57,41,5.0,5.0,98,5.0
55,44,5.0,5.0,99,5.0
50,49,5.0,5.0,99,5.0
47,51,5.0,5.0,98,5.0
45,53,5.0,5.0,98,5.0
43,51,5.0,5.0,94,5.0
42,50,5.0,5.0,92,5.0
42,50,5.0,5.0,92,5.0
42,49,5.0,5.0,91,5.0
42,49,5.0,5.0,91,5.0
41,49,5.0,5.0,90,5.0
41,49,5.0,5.0,90,5.0
41,48,5.0,5.0,89,5.0
41,48,5.0,5.0,89,5.0
41,48,5.0,5.0,89,5.0
41,47,5.0,5.0,88,5.0
52,47,5.0,5.0,99,5.0
52,45,5.0,5.0,97,5.0
57,41,5.0,5.0,98,5.0
60,39,5.0,5.0,99,5.0
58,39,5.0,5.0,97,5.0
58,41,5.0,5.0,99,5.0
54,45,5.0,5.0,99,5.0
48,51,5.0,5.0,99,5.0
44,55,5.0,5.0,99,5.0
43,53,5.0,5.0,96,5.0
43,53,5.0,5.0,96,5.0
42,52,5.0,5.0,94,5.0
42,52,5.0,5.0,94,5.0
40,52,5.0,5.0,92,5.0
38,51,5.0,5.0,89,5.0
38,50,5.0,5.0,88,5.0
38,50,5.0,5.0,88,5.0
38,50,5.0,5.0,88,5.0
38,50,5.0,5.0,88,5.0
38,50,5.0,5.0,88,5.0
47,49,5.0,5.0,96,5.0
53,42,5.0,5.0,95,5.0
56,41,5.0,5.0,97,5.0
58,40,5.0,5.0,98,5.0
58,40,5.0,5.0,98,5.0
56,41,5.0,5.0,97,5.0
52,47,5.0,5.0,99,5.0
48,51,5.0,5.0,99,5.0
42,56,5.0,5.0,98,5.0
41,55,5.0,5.0,96,5.0
40,54,5.0,5.0,94,5.0
