forward_num,forward_rate,forward_num,forward_rate,forward_num,forward_rate
10,5.5,10,5.5,10,5.5
10,5.5,10,5.5,9,5.22222222222222
10,5.5,10,5.5,9,5.22222222222222
10,5.5,9,6.0,9,5.22222222222222
10,5.5,9,6.0,9,5.22222222222222
10,5.5,9,6.0,9,5.22222222222222
10,5.5,9,6.0,9,5.22222222222222
10,5.5,9,6.0,9,5.22222222222222
10,5.5,9,6.0,9,5.22222222222222
10,5.5,9,6.0,9,5.22222222222222
10,5.5,9,6.0,9,5.22222222222222
11,5.72727272727273,10,6.2,10,5.5
12,5.83333333333333,11,6.27272727272727,11,5.63636363636364
13,5.92307692307692,12,6.25,11,5.63636363636364
13,5.92307692307692,12,6.25,11,5.63636363636364
14,6.07142857142857,13,6.23076923076923,12,5.66666666666667
14,6.07142857142857,13,6.23076923076923,12,5.66666666666667
14,6.07142857142857,13,6.23076923076923,12,5.66666666666667
15,6.0,14,6.28571428571429,13,5.76923076923077
15,6.0,14,6.28571428571429,13,5.76923076923077
15,6.0,14,6.28571428571429,13,5.76923076923077
17,6.0,16,6.375,15,5.93333333333333
17,6.0,16,6.375,15,5.93333333333333
17,6.0,16,6.375,15,5.93333333333333
19,6.21052631578947,18,6.55555555555556,17,6.23529411764706
19,6.21052631578947,18,6.55555555555556,17,6.23529411764706
21,6.19047619047619,20,6.6,18,6.16666666666667
22,6.18181818181818,21,6.57142857142857,19,6.15789473684211
24,6.29166666666667,21,6.57142857142857,19,6.15789473684211
24,6.29166666666667,21,6.57142857142857,19,6.15789473684211
25,6.28,23,6.65217391304348,20,6.15
25,6.28,23,6.65217391304348,20,6.15
26,6.34615384615385,26,6.69230769230769,23,6.17391304347826
26,6.34615384615385,26,6.69230769230769,23,6.17391304347826
28,6.17857142857143,28,6.60714285714286,26,6.15384615384615
30,6.3,31,6.64516129032258,28,6.14285714285714
30,6.3,31,6.64516129032258,28,6.14285714285714
31,6.41935483870968,32,6.71875,29,6.24137931034483
33,6.51515151515152,35,6.77142857142857,31,6.32258064516129
34,6.58823529411765,36,6.75,31,6.32258064516129
35,6.6,36,6.75,31,6.32258064516129
38,6.57894736842105,38,6.65789473684211,32,6.25
39,6.61538461538461,39,6.69230769230769,34,6.35294117647059
40,6.65,40,6.775,34,6.35294117647059
41,6.60975609756098,41,6.78048780487805,36,6.36111111111111
44,6.54545454545455,45,6.93333333333333,38,6.44736842105263
45,6.46666666666667,46,6.91304347826087,39,6.38461538461539
50,6.5,51,6.90196078431373,44,6.52272727272727
50,6.5,52,6.90384615384615,45,6.53333333333333
52,6.53846153846154,56,6.91071428571429,48,6.60416666666667
55,6.52727272727273,59,6.93220338983051,49,6.59183673469388
62,6.5,62,6.82258064516129,53,6.45283018867925
64,6.484375,64,6.796875,54,6.42592592592593
66,6.5,70,6.81428571428571,58,6.43103448275862
68,6.55882352941176,70,6.81428571428571,58,6.43103448275862
69,6.56521739130435,72,6.81944444444444,64,6.515625
72,6.63888888888889,76,6.85526315789474,65,6.53846153846154
73,6.65753424657534,78,6.85897435897436,66,6.54545454545455
79,6.70886075949367,85,6.87058823529412,70,6.6
80,6.725,87,6.89655172413793,72,6.59722222222222
83,6.72289156626506,92,6.90217391304348,76,6.60526315789474
88,6.75,96,6.92708333333333,79,6.60759493670886
94,6.71276595744681,101,6.96039603960396,84,6.59523809523809
98,6.76530612244898,107,6.96261682242991,86,6.6046511627907
104,6.75961538461539,112,7.0,91,6.57142857142857
109,6.79816513761468,116,7.00862068965517,97,6.67010309278351
114,6.79824561403509,119,7.03361344537815,99,6.65656565656566
121,6.79338842975207,128,6.984375,104,6.625
127,6.78740157480315,134,6.95522388059702,111,6.64864864864865
132,6.75757575757576,137,6.96350364963504,114,6.68421052631579
139,6.76258992805755,148,6.9527027027027,121,6.68595041322314
143,6.79020979020979,156,6.96794871794872,124,6.73387096774194
148,6.79054054054054,162,6.95679012345679,131,6.6793893129771
154,6.83116883116883,172,6.94767441860465,139,6.72661870503597
163,6.85276073619632,183,7.01092896174863,145,6.76551724137931
166,6.87349397590361,191,7.01047120418848,148,6.75675675675676
175,6.89714285714286,199,7.01507537688442,157,6.78980891719745
185,6.9027027027027,207,7.02898550724638,164,6.78658536585366
191,6.89528795811518,211,7.03791469194313,173,6.82658959537572
205,6.86341463414634,225,7.04444444444444,178,6.81460674157303
213,6.86854460093897,233,7.02575107296137,184,6.82608695652174
226,6.8716814159292,242,7.05785123966942,196,6.79591836734694
235,6.88085106382979,258,7.01550387596899,205,6.78048780487805
246,6.93089430894309,268,7.04850746268657,211,6.80568720379147
259,6.92277992277992,286,6.99300699300699,227,6.80176211453744
269,6.90334572490706,299,6.97658862876254,235,6.74893617021277
285,6.92982456140351,314,6.99363057324841,250,6.792
301,6.90365448504983,333,6.98798798798799,266,6.76691729323308
311,6.91639871382637,349,6.96275071633238,275,6.78545454545455
326,6.94478527607362,366,6.95901639344262,289,6.79584775086505
343,6.92419825072886,385,6.95844155844156,301,6.80398671096346
357,6.92997198879552,401,6.96758104738155,313,6.81789137380192
371,6.95687331536388,418,6.96172248803828,325,6.82461538461538
395,6.91898734177215,434,6.963133640553,340,6.82352941176471
413,6.95157384987894,455,6.96923076923077,354,6.82485875706215
432,6.97222222222222,472,6.98093220338983,364,6.84340659340659
457,6.97374179431072,495,6.96565656565657,386,6.85233160621762
478,6.97907949790795,528,6.98295454545455,405,6.84691358024691
497,7.0,547,6.96709323583181,422,6.82227488151659
516,6.99806201550388,575,6.95304347826087,454,6.87444933920705
543,7.00552486187845,604,6.95860927152318,472,6.89406779661017
565,6.96637168141593,633,6.93838862559242,499,6.8436873747495
597,6.96817420435511,666,6.93243243243243,523,6.83556405353728
626,6.97124600638978,695,6.94532374100719,545,6.83119266055046
661,6.98184568835098,732,6.92486338797814,574,6.83449477351916
687,6.97816593886463,777,6.92535392535393,600,6.835
729,6.97256515775034,814,6.92751842751843,625,6.8512
771,6.98832684824903,851,6.93772032902468,654,6.85015290519878
814,6.99140049140049,892,6.94170403587444,677,6.83604135893648
841,6.99762187871581,932,6.94635193133047,706,6.85977337110482
886,6.98532731376975,975,6.94871794871795,745,6.85369127516778
