forward_0c_num_avg,forward_0c_rate_avg,forward_37c_num_avg,forward_37c_rate_avg,forward_50c_num_avg,forward_50c_rate_avg,forward_100c_num_avg,forward_100c_rate_avg,forward_150c_num_avg,forward_150c_rate_avg,forward_200c_num_avg,forward_200c_rate_avg,forward_300c_num_avg,forward_300c_rate_avg,forward_400c_num_avg,forward_400c_rate_avg,forward_600c_num_avg,forward_600c_rate_avg,forward_800c_num_avg,forward_800c_rate_avg,forward_1000c_num_avg,forward_1000c_rate_avg,reverse_0c_num_avg,reverse_0c_rate_avg,reverse_37c_num_avg,reverse_37c_rate_avg,reverse_50c_num_avg,reverse_50c_rate_avg,reverse_100c_num_avg,reverse_100c_rate_avg,reverse_150c_num_avg,reverse_150c_rate_avg,reverse_200c_num_avg,reverse_200c_rate_avg,reverse_300c_num_avg,reverse_300c_rate_avg,reverse_400c_num_avg,reverse_400c_rate_avg,reverse_600c_num_avg,reverse_600c_rate_avg,reverse_800c_num_avg,reverse_800c_rate_avg,reverse_1000c_num_avg,reverse_1000c_rate_avg
10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5
10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5
10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.44444444444444,9.33333333333333,5.57407407407407,9.66666666666667,5.48148148148148,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5
10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.44444444444444,9.33333333333333,5.57407407407407,9.66666666666667,5.48148148148148,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5
10.0,5.5,10.0,5.5,9.66666666666667,5.44444444444444,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.44444444444444,9.33333333333333,5.57407407407407,9.66666666666667,5.48148148148148,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5
10.0,5.5,10.0,5.5,9.33333333333333,5.625,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.37037037037037,10.0,5.5,10.0,5.5,9.66666666666667,5.44444444444444,9.33333333333333,5.57407407407407,9.66666666666667,5.48148148148148,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5
10.0,5.5,10.0,5.5,9.33333333333333,5.625,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.37037037037037,10.0,5.5,10.0,5.5,9.66666666666667,5.44444444444444,9.33333333333333,5.57407407407407,9.66666666666667,5.48148148148148,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5
9.66666666666667,5.55555555555556,10.0,5.5,9.33333333333333,5.625,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.37037037037037,10.0,5.5,10.0,5.5,9.66666666666667,5.44444444444444,9.33333333333333,5.57407407407407,9.66666666666667,5.48148148148148,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5
9.66666666666667,5.55555555555556,10.0,5.5,9.33333333333333,5.625,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.37037037037037,10.0,5.5,10.0,5.5,9.66666666666667,5.44444444444444,9.33333333333333,5.57407407407407,9.66666666666667,5.48148148148148,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.37037037037037,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5
